id,image_path,marker,region
b6fc1e1ee94f15ab,images/b6fc1e1ee94f15ab.jpg,20x,IM
a9c46bbe8796c849,images/a9c46bbe8796c849.jpg,20x,IM
a4f81c00b3d4fbe6,images/a4f81c00b3d4fbe6.jpg,CD3,IM
3dd77ad8e3836e81,images/3dd77ad8e3836e81.jpg,CD8,IM
27ba05ae97249c09,images/27ba05ae97249c09.jpg,CD8,CT
a01f18922a7ce215,images/a01f18922a7ce215.jpg,CD3,IM
93fc4c2689a0a65f,images/93fc4c2689a0a65f.jpg,CD45RO,CT
1dfc65afe4f852c5,images/1dfc65afe4f852c5.jpg,PD1,IM
b139a3dbe1c471f5,images/b139a3dbe1c471f5.jpg,20x,CT
ae1009f49fea7821,images/ae1009f49fea7821.jpg,20x,IM
4dcd9474766461c8,images/4dcd9474766461c8.jpg,20x,CT
67ea0564b2f413bd,images/67ea0564b2f413bd.jpg,CD3,IM
0c05081b9a491b21,images/0c05081b9a491b21.jpg,CD8,CT
42079a4328fe1359,images/42079a4328fe1359.jpg,CD3,CT
c615bb7509f41874,images/c615bb7509f41874.jpg,CD3,N
26ac3966f4f75a8c,images/26ac3966f4f75a8c.jpg,20x,CT
c472b96c5741825e,images/c472b96c5741825e.jpg,PD1,CT
aa8bb651ef07b9ce,images/aa8bb651ef07b9ce.jpg,PD1,IM
15ad92deabf06e32,images/15ad92deabf06e32.jpg,T,IM
57d35926f87f298d,images/57d35926f87f298d.jpg,20x,CT
97aba260c1a01145,images/97aba260c1a01145.jpg,LAG3,IM
4a76c2041453822d,images/4a76c2041453822d.jpg,T,IM
fbc0bb8354715159,images/fbc0bb8354715159.jpg,T,IM
a162afd4524a0cda,images/a162afd4524a0cda.jpg,PD1,CT
2a860071482d6b5e,images/2a860071482d6b5e.jpg,T,IM
09fc4ce24cda39f4,images/09fc4ce24cda39f4.jpg,CD8,IM
7c49c7d883fcbfe0,images/7c49c7d883fcbfe0.jpg,T,IM
4a07b8dbd4dcade4,images/4a07b8dbd4dcade4.jpg,PD1,IM
eef4ea9d2f91804a,images/eef4ea9d2f91804a.jpg,CD8,CT
5f2ead3889698099,images/5f2ead3889698099.jpg,PD1,IM
13e278134cf05c31,images/13e278134cf05c31.jpg,CD45RO,IM
c053a936e665963a,images/c053a936e665963a.jpg,CD45RO,IM
86018260b543ce9f,images/86018260b543ce9f.jpg,T,IM
ae112e24a0baf1a7,images/ae112e24a0baf1a7.jpg,CD45RO,IM
98f892c2184c8c05,images/98f892c2184c8c05.jpg,CD8,CT
440d34468d423c21,images/440d34468d423c21.jpg,CD8,N
b1a083834c5f05da,images/b1a083834c5f05da.jpg,PD1,CT
a05800d18f3b1468,images/a05800d18f3b1468.jpg,20x,CT
c96068193dce7980,images/c96068193dce7980.jpg,CD45RO,CT
ecbb61d5735ef348,images/ecbb61d5735ef348.jpg,LAG3,CT
accb411ea7a924bc,images/accb411ea7a924bc.jpg,T,IM
